uuid,name,brand,street,house_number,post_code,city,latitude,longitude,first_active,openingtimes_json,index,railway,highway,driving time,oligopolist,"non-oli, national or regional","non-oli, local",shop,bistro,WC,vacuum cleaner,portal car wash,high pressure cleaner,work shop,backery,truck gas station,ATM,restaurant,diaper station,shower,self service
e8e0e0a8-a6c5-4d25-824d-d6160e6fd5c7,Jonke Adolf & Stephan,bft - Walther,Lackermannweg,10,83071,Stephanskirchen,47.86515,12.16598,5/16/2014 0:00,"{""openingTimes"":[{""applicable_days"":127,""periods"":[{""startp"":""06:30"",""endp"":""22:00""}]}]}",18,,,2,,,1,,,,1,1,1,1,,,,,,,
492294ce-7213-4204-95a1-8c0e6b8a7387,Rosenheim Renkenweg 1,OMV,Renkenweg,1,83026,Rosenheim,47.84331,12.08196,3/18/2014 16:45,{},3,,1,2,,1,,1,1,1,1,1,,,,1,,,,,
c2e1a98c-6029-467f-8106-c8e0bcaa1dfc,ROHRDORF - ROSENHEIMER STR. 44,Agip,Rosenheimer Str.,44,83101,Rohrdorf,47.82453501,12.15353384,3/20/2014 0:00,"{""openingTimes"":[{""applicable_days"":255,""periods"":[{""startp"":""06:00"",""endp"":""22:00""}]}]}",16,1,,3,,1,,1,,,,1,,,,1,,,,,
c5c38c4f-9d55-4904-93c8-1be19e28cc90,"Kolbermoor, Rosenheimer Str. 60",HEM,Rosenheimer Str.,60,83059,Kolbermoor,47.84908,12.07719,9/20/2016 0:00,"{""openingTimes"":[{""applicable_days"":255,""periods"":[{""startp"":""06:00"",""endp"":""22:00""}]}]}",20,,,2,,1,,1,1,,1,1,,,1,,,,,,
f2be59a2-b86b-43f7-8f34-d0cf568bc688,Raubling Rosenheimer Str. 40,OMV,Rosenheimer Str.,40,83064,Raubling,47.79679,12.12035,3/18/2014 16:45,{},10,,,3,,1,,,,,,,,,,,,,,,
a877c7d9-ac7e-4106-b5dd-08d87dd2add1,Aral Tankstelle,ARAL,Rosenheimer Stra??e,30a,83059,Kolbermoor,47.8498764,12.0677061,3/18/2014 16:45,"{""openingTimes"":[{""applicable_days"":63,""periods"":[{""startp"":""06:00"",""endp"":""22:00""}]},{""applicable_days"":64,""periods"":[{""startp"":""07:00"",""endp"":""22:00""}]}]}",5,,,3,1,,,1,,,,1,,,,,,,,,
8a1a2351-9ddb-4f26-afa3-694af9de4474,Aral Tankstelle,ARAL,Rosenheimer Stra??e,83,83064,Raubling,47.80479,12.1198769,3/18/2014 16:45,{},8,,,3,1,,,1,1,1,,1,,,,1,,,,,
3d00f71d-afb6-4eab-bfad-f72bd4b643fa,Esso Tankstelle,ESSO,SALZBURGER STR. 43, ,83071,STEPHANSKIRCHEN,47.8589,12.150872,3/18/2014 16:45,"{""openingTimes"":[{""applicable_days"":127,""periods"":[{""startp"":""06:00"",""endp"":""22:00""}]}]}",12,,,2,1,,,1,,,,1,,,,,,,,,
894dc0c5-383c-4328-91d8-ac14ab549c53,Aral Tankstelle,ARAL,Salzburger Stra??e,64,83071,Stephanskirchen,47.8603935,12.15434,3/18/2014 16:45,"{""openingTimes"":[{""applicable_days"":127,""periods"":[{""startp"":""06:00"",""endp"":""22:00""}]}]}",9,,,2,1,,,1,,,,1,,,,,,,,,
fb456de7-807a-42aa-9510-c92bb58d9c3a,"ROSENHEIM, WESTERNDORFER STR.",Shell,WESTERNDORFER STR. 70,,83024,Rosenheim,47.875147,12.111214,3/18/2014 16:45,"{""openingTimes"":[{""applicable_days"":31,""periods"":[{""startp"":""06:30"",""endp"":""22:00""}]},{""applicable_days"":32,""periods"":[{""startp"":""07:00"",""endp"":""22:00""}]},{""applicable_days"":192,""periods"":[{""startp"":""07:30"",""endp"":""22:00""}]}]}",2,,,3,1,,,1,,1,,1,,,,,,,,,
